"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"D1","WS2812B","TopLayer","WS2812B_WDS","82.0420mm","53.7210mm","0","Description","0.0000mm","82.0420mm","53.7210mm","79.6064mm","55.3710mm"
"C10","100n 50V","TopLayer","CAPC1005X04L","62.8650mm","57.0230mm","270","Capacitor, X5R, �20%","0.0000mm","62.8650mm","57.0230mm","62.8650mm","57.5230mm"
"C9","10u 50V","TopLayer","CAP_0603","74.9300mm","77.3430mm","270","Capacitor SMD 0603","0.0000mm","74.9300mm","77.3430mm","74.9300mm","78.0930mm"
"C8","100n 50V","TopLayer","CAPC1005X04L","108.4580mm","67.6910mm","0","Capacitor, X5R, �20%","0.0000mm","108.4580mm","67.6910mm","107.9580mm","67.6910mm"
"C7","100n 50V","TopLayer","CAP_0805","107.9500mm","53.7210mm","90","Capacitor SMD 0805","0.0000mm","107.9500mm","53.7210mm","107.9500mm","52.5780mm"
"C6","100n 50V","TopLayer","CAP_0603","86.7410mm","53.7210mm","90","Capacitor SMD 0603","0.0000mm","86.7410mm","53.7210mm","86.7410mm","52.9710mm"
"C5","100n 50V","TopLayer","CAP_0603","77.7240mm","53.7210mm","90","Capacitor SMD 0603","0.0000mm","77.7240mm","53.7210mm","77.7240mm","52.9710mm"
"C4","100n 50V","TopLayer","CAPC1005X04L","56.6805mm","60.1300mm","180","Capacitor, X5R, �20%","0.0000mm","56.6805mm","60.1300mm","57.1805mm","60.1300mm"
"C3","100n 50V","TopLayer","CAP_0603","76.8350mm","77.3430mm","270","Capacitor SMD 0603","0.0000mm","76.8350mm","77.3430mm","76.8350mm","78.0930mm"
"C2","220u 10V","TopLayer","CAPPM7343X310N","67.9450mm","68.8340mm","180","220 µF Molded Tantalum Capacitors 10 V 2917 (7343 Metric) 50mOhm","3.1000mm","67.9450mm","68.8340mm","71.0550mm","68.8340mm"
"C1","100u 50V","TopLayer","CAPPRD500W60D800H1150","57.6580mm","69.5960mm","270","100F 50V Aluminum Electrolytic Capacitors Radial, Can 1000 Hrs @ 105C","0.0000mm","57.6580mm","69.5960mm","57.6580mm","72.0960mm"
